post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:fb_product_set
"MX MASTER 3S",mx-master-3s,,39,"Mouse MX Master 3S
Height : 124.9 mm
Width : 84.3 mm
Thickness : 51 mm
Weight : 141 g
Logi Bolt . USB Receiver
Height : 18.4 mm
Width : 14.4 mm
Thickness : 6.6 mm
Weight : 2 g","Performance wireless mouse",publish,,0,"2022-12-23 13:59:34",1,open,38Mice,,,no,no,30,19,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mx-master-3s-mouse-top-view-graphite.png ! alt :  ! title : mx-master-3s-mouse-top-view-graphite.png ! desc :  ! caption : ",,http://localhost/ecs/product/mx-master-3s/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"PORTABLE M187",wireless-ultra-portable-m187,,41,"Mouse
Height : 81.9 mm
Width : 49.4 mm
Thickness : 31.8 mm
Weight (with battery) : 51.9 g
Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","M187 Ultra Portable Wireless Mouse (M187 Ultra Portable Wireless Mouse). Take it with you wherever you take your laptop—thanks to its ultra-compact pocket design and plug-and-play nano receiver. Enjoy wireless comfort with more precision and control than a laptop trackpad.",publish,,0,"2022-12-23 13:59:35",1,open,40Mice,,,no,no,30,15,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/m187-gallery-black-1-new.png ! alt :  ! title : m187-gallery-black-1-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/wireless-ultra-portable-m187/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"M190 WIRELESS",m190-full-size-wireless-mouse,,43,"Mouse parameters
Height : 115.4 mm
Width : 66.1 mm
Thickness : 40.3 mm
Weight (with battery) : 89.9 g","The Logitech M190 is a full-size wireless mouse with a comfortable, curvaceous design that follows the natural curve of medium to large hands, allowing you to work wirelessly and move freely with most hands. like no delay or loss of connection.",publish,,0,"2022-12-23 13:59:35",1,open,41Mice,,,no,no,30,16,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/m190-wireless-mouse-charcoal-gallery-01.png ! alt :  ! title : m190-wireless-mouse-charcoal-gallery-01.png ! desc :  ! caption : ",,http://localhost/ecs/product/m190-full-size-wireless-mouse/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"M720 TRIATHLON",m720-triathlon,,45,"Mouse
Height : 115 mm
Width : 74 mm
Thickness : 45 mm
Weight (with battery) : 135 g with AA . battery
Logitech Unifying Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","Introducing a precision mouse built for exceptional comfort, durability and versatility. With more control, two scroll modes, adjustable dpi tracking, the M720 gives you the power to conquer any task.",publish,,0,"2022-12-23 13:59:36",1,open,42Mice,,,no,no,30,21,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/m720-gallery-1a.png ! alt :  ! title : m720-gallery-1a.png ! desc :  ! caption : ",,http://localhost/ecs/product/m720-triathlon/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"LOGITECH MOUSE PAD",logitech-mouse-pad-studio-series,,47,"Touchpad
Height : 200 mm
Width : 230 mm
Thickness : 2mm
Weight : 73 g","Introducing a soft, smooth, non-slip trackpad that takes your workspace to the next level. Made from premium materials, the Logitech Trackpad gives you the gliding comfort you need from your favorite Logitech Mouse.",publish,,0,"2022-12-23 13:59:37",1,open,43Mice,,,no,no,30,18,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/logitech-mouse-pad-studio-series-typing-view-blue-grey.png ! alt :  ! title : logitech-mouse-pad-studio-series-typing-view-blue-grey.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-mouse-pad-studio-series/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"LOGITECH DESK MAT",logitech-desk-mat-studio-series,,49,"Desk mats
Wireless headphones : 300 mm
Travel bag : 700 mm
Thickness : 2mm
: 286 g","Introducing an accessory that takes your workspace to the next level, the perfect complement to your Logitech tools. Get the fresh colors you want, the comfort you need and the level of desk protection you expect.

",publish,,0,"2022-12-23 13:59:38",1,open,44Mice,,,no,no,30,11,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/logitech-desk-mat-studio-series-typing-view-mid-grey.png ! alt :  ! title : logitech-desk-mat-studio-series-typing-view-mid-grey.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-desk-mat-studio-series/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"LOGI USB-C TO A ADAPTOR",logi-usb-c-to-a-adaptor,,51,"Adapters
Height : 27.5 mm
Width : 16.4 mm
Thickness : 9.2 mm
Weight : 22 g","Adapts to any Logitech Type-A wireless USB 2.0 receiver or USB-A cord used in the USB-C port. For when you don't have a USB Type-A port but still want to use Logitech's advanced 2.4 GHz wireless USB receiver, Logitech Unifying, or Logi Bolt.",publish,,0,"2022-12-23 13:59:39",1,open,45Mice,,,no,no,30,11,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/logi-usb-adapter-gallery-02.png ! alt :  ! title : logi-usb-adapter-gallery-02.png ! desc :  ! caption : ",,http://localhost/ecs/product/logi-usb-c-to-a-adaptor/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"LOGI BOLT USB RECEIVER",logi-bolt-usb-receiver,,53,"USB receiver
Height : 18.4 mm
Width : 14.4 mm
Thickness : 6.6 mm
Weight : 2 g","Use this Logi Bolt USB receiver to create a secure, high-performance wireless connection between your mouse, keyboard, or Logi Bolt wireless duo and your computer.",publish,,0,"2022-12-23 13:59:40",1,open,46Mice,,,no,no,30,10,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/logi-bolt-usb-receiver-gallery-01.png ! alt :  ! title : logi-bolt-usb-receiver-gallery-01.png ! desc :  ! caption : ",,http://localhost/ecs/product/logi-bolt-usb-receiver/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"ADVANCED MK545",advanced-mk545,,55,"Keyboard
Height : 193.5 mm
Width : 457.3 mm
Thickness : 24 mm
Weight (without battery) : 654 g
Mouse
Height : 65 mm
Width : 120 mm
Thickness : 41 mm
Weight : 83g
","Supported by Logi Options  on macOS 10.15 and later and Windows 10 and later.",publish,,0,"2022-12-23 13:59:41",1,open,47Comb,,,no,no,30,18,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk545-gallery-1.png ! alt :  ! title : mk545-gallery-1.png ! desc :  ! caption : ",,http://localhost/ecs/product/advanced-mk545/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"MK295 SILENT WIRELESS COMBO",mk295-silent-wireless-combo,,57,"Keyboard
Height : 149 mm
Width : 441 mm
Thickness : 18 mm
Weight (with battery) : 498 g
Mouse
Height : 99 mm
Width : 60 mm
Thickness : 39 mm
Weight (with battery) : 75.2 g
","Introducing Logitech's MK295 Quiet Wireless Duo - with SilentTouch, Logitech's proprietary technology that eliminates over 90% of mouse and keyboard noise. It gives the same click and tap feel of the world's best-selling duo without the distracting knock and click",publish,,0,"2022-12-23 13:59:45",1,open,48Comb,,,no,no,30,19,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk295-graphite-gallery-01-new.png ! alt :  ! title : mk295-graphite-gallery-01-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/mk295-silent-wireless-combo/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"MK345 AND MOUSE",mk345-comfort-wireless-keyboard-and-mouse-combo,,59,"Keyboard
Height : 186.7 mm
Width : 447.2 mm
Thickness : 21.4 mm
Weight : 603 g
Mouse
Height : 105.4 mm
Width : 67.9 mm
Thickness : 38.4 mm
Weight : 86.4 g","Comfortable wireless duo with armrests",publish,,0,"2022-12-23 13:59:46",1,open,49Comb,,,no,no,30,25,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk345-gallery-1-new.png ! alt :  ! title : mk345-gallery-1-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/mk345-comfort-wireless-keyboard-and-mouse-combo/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"MK235 AND MOUSE",mk235-wireless-keyboard-and-mouse-combo,,61,"Keyboard
Height : 137.5 mm
Width : 435.5 mm
Thickness : 20.5 mm
Weight : 475 g
Mouse
Height : 97.7 mm
Width : 61.5 mm
Thickness : 35.2 mm
Weight : 70.5 g","This duo delivers all the functionality you need in a comfortable, durable design that's easy to use and keeps your space neat and clean. Built with Logitech's renowned quality standards, the MK235 Wireless Duo will stand the test of time.",publish,,0,"2022-12-23 13:59:47",1,open,50Comb,,,no,no,30,23,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk235-gallery-01-new.png ! alt :  ! title : mk235-gallery-01-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/mk235-wireless-keyboard-and-mouse-combo/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"MK200 AND MOUSE",mk200-media-corded-keyboard-and-mouse-combo,,63,"Keyboard
Height : 155 mm
Width : 450 mm
Thickness : 18 mm
Weight : 550g
Cord length : 180cm
Mouse
Height : 113 mm
Width : 62 mm
Thickness : 38 mm
Weight : 90 g
Cord length : 180cm","Just plug in this well-balanced wired mouse and full-sized keyboard via USB and get to work in a snap. The keyboard includes an integrated numeric keypad, complemented by eight easy media access keys, while the mouse provides comfortable palm rest and smooth tracking, making navigating every day becomes easy",publish,,0,"2022-12-23 13:59:47",1,open,51Comb,,,no,no,30,39,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk200-gallery-01-new.png ! alt :  ! title : mk200-gallery-01-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/mk200-media-corded-keyboard-and-mouse-combo/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"ZONE VIBE 100",zone-vibe-100,,65,"Headphone
Height : 183.0 mm
Width : 169.7 mm
Thickness : 73 mm
Weight : 185 g
Earplugs
Height : 98.6 mm
Width : 75.4 mm
Thickness : 19.3 mm","Experience immersive audio with the Zone Vibe 100 wireless headphones. Professional enough for the office. Comfortable enough for the family. Designed for learning and gaming.",publish,,0,"2022-12-23 13:59:48",1,open,52Head,,,no,no,30,106,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/zone-vibe-100-gallery-white-1-1.png ! alt :  ! title : zone-vibe-100-gallery-white-1 ! desc :  ! caption : ",,http://localhost/ecs/product/zone-vibe-100/,0,simple,,"Category|Category > HEADSETS & SPEAKERS > Headsets & Earbuds|Category > HEADSETS & SPEAKERS","Headsets &amp; Earbuds",,
H390,h390-usb-computer-headset,,67,"Height : 171 mm
Width : 151 mm
Thickness : 68 mm
Weight : 0.197 kg
Cord length : 1.9 m","The H390 USB computer headset lets you experience crystal-clear Internet calling with its plug-and-play USB-A connection and noise-cancelling mic. In-line controls let you control volume or mute without interrupting calls.",publish,,0,"2022-12-23 13:59:49",1,open,53Head,,,no,no,30,17,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/h390-gallery-01.png ! alt :  ! title : h390-gallery-01.png ! desc :  ! caption : ",,http://localhost/ecs/product/h390-usb-computer-headset/,0,simple,,"Category|Category > HEADSETS & SPEAKERS > Headsets & Earbuds|Category > HEADSETS & SPEAKERS","Headsets &amp; Earbuds",,
"COMPUTER SPEAKER Z407",computer-speaker-bluetooth-z407,,69,"Satellite
Height : 199.9 mm
Width : 93.9 mm
Thickness : 85.2 mm
Weight : 389.6 g
Woofer
Height : 240 mm
Width : 234 mm
Thickness : 180 mm
Weight : 2450.6 g
Wireless control dial
Diameter : 69.9 mm
Height : 29.4 mm
Weight : 51.8 g","The 80-watt power supply engages in precise digital signal processing (DSP) to deliver immersive, true-to-life sound. Hear clear highs, powerful mids and lows, and all the bass you can handle.",publish,,0,"2022-12-23 13:59:50",1,open,54Comp,,,no,no,30,11,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/z407-gallery-01.png ! alt :  ! title : z407-gallery-01.png ! desc :  ! caption : ",,http://localhost/ecs/product/computer-speaker-bluetooth-z407/,0,simple,,"Category|Category > HEADSETS & SPEAKERS > Computer speaker|Category > HEADSETS & SPEAKERS","Computer speaker",,
"Z607 URROUND SOUND",z607-5-1-surround-sound-speaker-system,,71,"Woofer
Height : 297 mm
Width : 193 mm
Thickness : 267 mm
Weight : 3.5 kg
Satellite speakers
Height : 178 mm
Width : 110 mm
Thickness : 93 mm
Weight : 0.45 kg
Central channel
Height : 178 mm
Width : 110 mm
Thickness : 93 mm
Weight : 0.42 kg
Remote control
Height : 86 mm
Width : 40 mm
Thickness : 7 mm
Weight : 16.6 g
","Powerful Sound with Bluetooth
",publish,,0,"2022-12-23 13:59:51",1,open,55Comp,,,no,no,30,13,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/z607-gallery-3.png ! alt :  ! title : z607-gallery-3.png ! desc :  ! caption : ",,http://localhost/ecs/product/z607-5-1-surround-sound-speaker-system/,0,simple,,"Category|Category > HEADSETS & SPEAKERS > Computer speaker|Category > HEADSETS & SPEAKERS","Computer speaker",,
"MXM MINI FOR MAC",mx-mechanical-mini-for-mac,,73,"MX Mechanical Mini For Mac
Height: 5.17 in (131.55 mm)
Width: 12.30 in (312.60 mm)
Depth: 1.02 in (26.10 mm), including keycaps
Weight: 21.58 oz (612 g)","A minimalist keyboard with a key layout for Mac with Tactile Quiet low-profile mechanical switches and Smart Backlighting",publish,,0,"2022-12-23 13:59:52",1,open,56Keyb,,,no,no,30,150,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/us-mx-keys-for-mac-gallery-front.png ! alt :  ! title : us-mx-keys-for-mac-gallery-front.png ! desc :  ! caption : ",,http://localhost/ecs/product/mx-mechanical-mini-for-mac/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
