sku,post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,Images,tax:product_type,tax:product_cat,tax:product_tag
40Mice,WIRELESS ULTRA PORTABLE M187,"Mouse
Height : 81.9 mm
Width : 49.4 mm
Thickness : 31.8 mm
Weight (with battery) : 51.9 g
Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g",M187 Ultra Portable Wireless Mouse (M187 Ultra Portable Wireless Mouse). Take it with you wherever you take your laptop—thanks to its ultra-compact pocket design and plug-and-play nano receiver. Enjoy wireless comfort with more precision and control than a laptop trackpad.,publish,15,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/m187-gallery-black-1-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
41Mice,M190 FULL-SIZE WIRELESS MOUSE,"Mouse parameters
Height : 115.4 mm
Width : 66.1 mm
Thickness : 40.3 mm
Weight (with battery) : 89.9 g","The Logitech M190 is a full-size wireless mouse with a comfortable, curvaceous design that follows the natural curve of medium to large hands, allowing you to work wirelessly and move freely with most hands. like no delay or loss of connection.",publish,16,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/m190-wireless-mouse-charcoal-gallery-01.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
42Mice,M720 TRIATHLON,"Mouse
Height : 115 mm
Width : 74 mm
Thickness : 45 mm
Weight (with battery) : 135 g with AA . battery
Logitech Unifying Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","Introducing a precision mouse built for exceptional comfort, durability and versatility. With more control, two scroll modes, adjustable dpi tracking, the M720 gives you the power to conquer any task.",publish,21,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/m720-gallery-1a.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
43Mice,LOGITECH MOUSE PAD - STUDIO SERIES,"Touchpad
Height : 200 mm
Width : 230 mm
Thickness : 2mm
Weight : 73 g","Introducing a soft, smooth, non-slip trackpad that takes your workspace to the next level. Made from premium materials, the Logitech Trackpad gives you the gliding comfort you need from your favorite Logitech Mouse.",publish,18,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/logitech-mouse-pad-studio-series-typing-view-blue-grey.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
44Mice,LOGITECH DESK MAT - STUDIO SERIES,"Desk mats
Wireless headphones : 300 mm
Travel bag : 700 mm
Thickness : 2mm
: 286 g","Introducing an accessory that takes your workspace to the next level, the perfect complement to your Logitech tools. Get the fresh colors you want, the comfort you need and the level of desk protection you expect.

",publish,11,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/logitech-desk-mat-studio-series-typing-view-mid-grey.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
45Mice,LOGI USB-C TO A ADAPTOR,"Adapters
Height : 27.5 mm
Width : 16.4 mm
Thickness : 9.2 mm
Weight : 22 g","Adapts to any Logitech Type-A wireless USB 2.0 receiver or USB-A cord used in the USB-C port. For when you don't have a USB Type-A port but still want to use Logitech's advanced 2.4 GHz wireless USB receiver, Logitech Unifying, or Logi Bolt.",publish,11,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/logi-usb-adapter-gallery-02.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
46Mice,LOGI BOLT USB RECEIVER,"USB receiver
Height : 18.4 mm
Width : 14.4 mm
Thickness : 6.6 mm
Weight : 2 g","Use this Logi Bolt USB receiver to create a secure, high-performance wireless connection between your mouse, keyboard, or Logi Bolt wireless duo and your computer.",publish,10,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/logi-bolt-usb-receiver-gallery-01.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
47Comb,ADVANCED MK545,"Keyboard
Height : 193.5 mm
Width : 457.3 mm
Thickness : 24 mm
Weight (without battery) : 654 g
Mouse
Height : 65 mm
Width : 120 mm
Thickness : 41 mm
Weight : 83g
",Supported by Logi Options+ on macOS 10.15 and later and Windows 10 and later.,publish,18,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk545-gallery-1.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
48Comb,MK295 SILENT WIRELESS COMBO,"Keyboard
Height : 149 mm
Width : 441 mm
Thickness : 18 mm
Weight (with battery) : 498 g
Mouse
Height : 99 mm
Width : 60 mm
Thickness : 39 mm
Weight (with battery) : 75.2 g
","Introducing Logitech's MK295 Quiet Wireless Duo - with SilentTouch, Logitech's proprietary technology that eliminates over 90% of mouse and keyboard noise. It gives the same click and tap feel of the world's best-selling duo without the distracting knock and click",publish,19,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk295-graphite-gallery-01-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
49Comb,MK345 COMFORT WIRELESS KEYBOARD AND MOUSE COMBO,"Keyboard
Height : 186.7 mm
Width : 447.2 mm
Thickness : 21.4 mm
Weight : 603 g
Mouse
Height : 105.4 mm
Width : 67.9 mm
Thickness : 38.4 mm
Weight : 86.4 g",Comfortable wireless duo with armrests,publish,25,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk345-gallery-1-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
50Comb,MK235 WIRELESS KEYBOARD AND MOUSE COMBO,"Keyboard
Height : 137.5 mm
Width : 435.5 mm
Thickness : 20.5 mm
Weight : 475 g
Mouse
Height : 97.7 mm
Width : 61.5 mm
Thickness : 35.2 mm
Weight : 70.5 g","This duo delivers all the functionality you need in a comfortable, durable design that's easy to use and keeps your space neat and clean. Built with Logitech's renowned quality standards, the MK235 Wireless Duo will stand the test of time.",publish,23,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk235-gallery-01-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
51Comb,MK200 MEDIA CORDED KEYBOARD AND MOUSE COMBO,"Keyboard
Height : 155 mm
Width : 450 mm
Thickness : 18 mm
Weight : 550g
Cord length : 180cm
Mouse
Height : 113 mm
Width : 62 mm
Thickness : 38 mm
Weight : 90 g
Cord length : 180cm","Just plug in this well-balanced wired mouse and full-sized keyboard via USB and get to work in a snap. The keyboard includes an integrated numeric keypad, complemented by eight easy media access keys, while the mouse provides comfortable palm rest and smooth tracking, making navigating every day becomes easy",publish,39,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk200-gallery-01-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
52Head,ZONE VIBE 100,"Headphone
Height : 183.0 mm
Width : 169.7 mm
Thickness : 73 mm
Weight : 185 g
Earplugs
Height : 98.6 mm
Width : 75.4 mm
Thickness : 19.3 mm",Experience immersive audio with the Zone Vibe 100 wireless headphones. Professional enough for the office. Comfortable enough for the family. Designed for learning and gaming.,publish,106,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/zone-vibe-100-gallery-white-1.png,simple,Category|Category > HEADSETS & SPEAKERS|Category > HEADSETS & SPEAKERS > Headsets & Earbuds,Headsets & Earbuds
53Head,H390 USB COMPUTER HEADSET,"Height : 171 mm
Width : 151 mm
Thickness : 68 mm
Weight : 0.197 kg
Cord length : 1.9 m",The H390 USB computer headset lets you experience crystal-clear Internet calling with its plug-and-play USB-A connection and noise-cancelling mic. In-line controls let you control volume or mute without interrupting calls.,publish,17,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/h390-gallery-01.png,simple,Category|Category > HEADSETS & SPEAKERS|Category > HEADSETS & SPEAKERS > Headsets & Earbuds,Headsets & Earbuds
54Comp,COMPUTER SPEAKER BLUETOOTH Z407,"Satellite
Height : 199.9 mm
Width : 93.9 mm
Thickness : 85.2 mm
Weight : 389.6 g
Woofer
Height : 240 mm
Width : 234 mm
Thickness : 180 mm
Weight : 2450.6 g
Wireless control dial
Diameter : 69.9 mm
Height : 29.4 mm
Weight : 51.8 g","The 80-watt power supply engages in precise digital signal processing (DSP) to deliver immersive, true-to-life sound. Hear clear highs, powerful mids and lows, and all the bass you can handle.",publish,11,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/z407-gallery-01.png,simple,Category|Category > HEADSETS & SPEAKERS|Category > HEADSETS & SPEAKERS > Computer speaker,Computer speaker
55Comp,Z607 5.1 SURROUND SOUND SPEAKER SYSTEM,"Woofer
Height : 297 mm
Width : 193 mm
Thickness : 267 mm
Weight : 3.5 kg
Satellite speakers
Height : 178 mm
Width : 110 mm
Thickness : 93 mm
Weight : 0.45 kg
Central channel
Height : 178 mm
Width : 110 mm
Thickness : 93 mm
Weight : 0.42 kg
Remote control
Height : 86 mm
Width : 40 mm
Thickness : 7 mm
Weight : 16.6 g
","Powerful Sound with Bluetooth
",publish,13,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/z607-gallery-3.png,simple,Category|Category > HEADSETS & SPEAKERS|Category > HEADSETS & SPEAKERS > Computer speaker,Computer speaker
56Keyb,MX MECHANICAL MINI FOR MAC,"MX Mechanical Mini For Mac
Height: 5.17 in (131.55 mm)
Width: 12.30 in (312.60 mm)
Depth: 1.02 in (26.10 mm), including keycaps
Weight: 21.58 oz (612 g)",A minimalist keyboard with a key layout for Mac with Tactile Quiet low-profile mechanical switches and Smart Backlighting,publish,150,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/us-mx-keys-for-mac-gallery-front.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
57Keyb,SIGNATURE K650,"Dimensions
Height: 7.62 in (193.5 mm)
Width: 18.00 in (457.3 mm)
Depth: 0.94 in (24 mm)
Weight: 24.70 oz (700.23 g) w/o receiver (1.8 g) and with 2 AA Alkaline batteries (48.23g)","SIGNATURE K650 fits perfectly into your daily needs at work with upgraded shortcuts and integrated palm rest. Get the comfort you need for long hours at your desk. With a spill-resistant *, easy-to-clean design and up to 36 months of battery life **, you can move it conveniently and easily with no wires in the way.
* Up to 60 ml.
** Battery life may vary based on user and computing conditions.",publish,50,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k650-top-graphite-us.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
58Keyb,MX MECHANICAL,"Dimensions
MX MECHANICAL
Height: 1.02 in (26.10 mm), including keycaps
Width: 17.08 in (433.85 mm)
Depth: 5.17 in (131.55 mm)
Weight: 29.20 oz (828 g)",Wireless Illuminated Performance Keyboard,publish,170,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mx-mechanical-keyboard-top-view-graphite-us.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
59Keyb,K480 BLUETOOTH MULTI-DEVICE KEYBOARD,"Dimensions
Height: 7.68 in (195 mm)
Width: 11.77 in (299 mm)
Depth: 0.79 in (20 mm)
Weight: 28.92 oz (820 g)","K480 is a comfortable and space-saving multi-device keyboard that brings better typing to your laptop, tablet or phone. With impressive durability and long battery life, this tightly designed is what everyone needs to multi-task and get more done (from anywhere)..",publish,50,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k480-gallery-white-1-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
60Keyb,K380 MULTI-DEVICE BLUETOOTH KEYBOARD,"Dimensions
Height: 4.88 in (124 mm)
Width: 10.98 in (279 mm)
Depth: 0.63 in (16 mm)
Weight: 14.92 oz (423 g) including batteries","Meet K380. A multi-device keyboard with a small footprint and quiet typing for computers, tablets and phone, at home or on-the-go.",publish,50,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k380-lavender-gallery-1-us.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
61Keyb,MX KEYS FOR MAC,"Dimensions
Keyboard
Height: 5.18 in (131.63 mm)
Width: 16.94 in (430.2 mm)
Depth: 0.81 in (20.5 mm)
Weight: 28.57 oz (810 g)
Unifying USB Receiver
Height: 0.72 in (18.4 mm)
Width: 0.57 in (14.4 mm)
Depth: 0.26 in (6.6 mm)
Weight: 0.07 oz (2 g)",Advanced Wireless Illuminated Keyboard,publish,120,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/us-mx-keys-for-mac-gallery-3-4-front-1.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
62Keyb,KEYS-TO-GO,"Dimensions
Height: 5.39 in (137 mm)
Width: 9.53 in (242 mm)
Depth: 0.24 in (6 mm)
Weight: 6.35 oz (180 g)","Ultra-light, ultra-portable Bluetooth® Keyboard for iPhone®, iPad®, Apple TV® and Mac®",publish,50,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/keys-to-go-gallery-stone-01-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
63Keyb,MX KEYS,"Dimensions
MX Keys Keyboard
Height: 5.18 in (131.63 mm)
Width: 16.94 in (430.2 mm)
Depth: 0.81 in (20.5 mm)
Weight: 28.57 oz (810 g)",Advanced Wireless Illuminated Keyboard,publish,120,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/us-mx-keys-for-mac-gallery-front.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
64Keyb,WIRELESS KEYBOARD K350,"Dimensions
Height: 10.44 in (26.51 cm)
Width: 19.69 in (50 cm)
Depth: 3.09 in (7.84 cm)
Weight: 35.20 oz (998 g)",The K350 Wave combines a dynamic curved design with the familiarity of a straight keyboard. You’ll get the added ergonomic benefits of a cushioned palm rest and wave-shaped keyframe in a familiar keyboard layout and form factor.,publish,30,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k350-gallery-1-v3-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
65Keyb,ERGO K860,"Dimensions
Height: 9.17 in (233 mm)
Width: 17.95 in (456 mm)
Depth: 1.89 in (48 mm)
Weight: 40.92 oz (1160 g)","Introducing ERGO K860, a split ergonomic keyboard designed for better posture, less strain, and more support. You’ll type more naturally with a curved, split keyframe that improves typing posture.",publish,130,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/ergo-k860-gallery-04.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
66Keyb,K580 SLIM MULTI-DEVICE WIRELESS KEYBOARD CHROMEOS EDITION,"Dimensions
USB Receiver
Height: 0.91 in (23.1 mm)
Width: 0.74 in (18.7 mm)
Depth: 0.24 in (6.1 mm)
Weight: 0.07 oz (2 g)","Meet the K580 Multi-Device Keyboard ChromeOS Edition. It’s the ultra-slim, compact, quiet keyboard for computers, phones or tablets with a special ChromeOS layout",publish,50,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k580-gallery-1-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
67Keyb,K845 MECHANICAL ILLUMINATED,"Dimensions
Height: 5.00 in (127 mm)
Width: 17.13 in (435 mm)
Depth: 0.26 in (6.5 mm)
Weight: 27.51 oz (780 g)
Full-size with Numpad
Cable length: 5.91 ft (1.8 m), PVC - free cable","Meet the K845 Mechanical Illuminated, the corded keyboard that melds precise mechanics with a modern aluminum design. An adjustable angle, choice of mechanical switches, and 5 backlighting options let you work comfortably for hours.",publish,80,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k845-gallery-1-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
68Keyb,K600 TV KEYBOARD,"Dimensions
Height: 4.61 in (117 mm)
Width: 14.45 in (367 mm)
Depth: 0.79 in (20 mm)
Weight: 17.64 oz (500 g)","K600 TV Keyboard features everything you need to navigate your Smart TV or PC connected to the TV. Search, select, and control your content with the familiar typing experience, fluid gestures of the touchpad, or the point-by-point precision of the D-Pad.",publish,60,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k600-gallery-anz-wide-1.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
69Keyb,LOGITECH CRAFT,"Dimensions
Height: 5.87 in (149 mm)
Width: 16.93 in (430 mm)
Depth: 1.26 in (32 mm)
Weight: 33.86 oz (960 g)",Craft is a wireless keyboard with a premium typing experience and a versatile input dial that adapts to what you’re making — keeping you focused and in your creative flow.,publish,170,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/craft-gallery-top-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
70Keyb,KEYBOARD K120,"Dimensions
Height: 6.10 in (155 mm)
Width: 17.72 in (450 mm)
Depth: 0.93 in (23.5 mm)
Weight: 19.4 oz (550 g)
Cable length: 59.06 in (150 cm)","K120 Corded is reliable and durable, equipped with a number pad with an easy-to-use design that works right out of the box. Just plug in this corded keyboard via USB and go.",publish,13,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k120-gallery-01-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
71Webc,BRIO 500,"Dimensions
Webcam only
Height: 1.24 in (31.5 mm)
Width: 4.33 in (110 mm)
Depth: 1.24 in (31.5 mm)",Bring your best self to every meeting. Brio 500 ensures that you always look and sound natural in meetings so you can connect more genuinely with others.,publish,130,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/brio-500-gallery-offwhite-1.png,simple,Category|Category > STREAMING|Category > STREAMING > Webcams,Webcams|BRIO
72Webc,C930s PRO HD WEBCAM,"Dimensions
Height: 1.70 in (43.3 mm)
Width: 3.70 in (94 mm)
Depth: 2.8 in (71 mm)
Weight: 5.71 oz (162 g)
USB-A cable length: 5 ft (1.5 m)",1080p business webcam perfect for mass deployment,publish,130,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/c930s-pro-webcam-gallery-front.png,simple,Category|Category > STREAMING|Category > STREAMING > Webcams,Webcams
